channel_title,published_date,country,subscribers,views,totalVideos,playlistId,channel_published
Siddhartha Joshi,2007-11-10T06:15:26Z,IN,154000,20438844,537,UUY4rE2X-n2-TM_4K65CfXew,2007-11-10
Ankit Sirohiwal,2019-11-23T09:19:45.170199Z,IN,6570,1507397,125,UU82KxaZyYynHpX3q1TQi_5g,
Radhika Nomllers,2017-02-25T04:18:05Z,IN,425000,129465428,256,UUuLftLIRZ2hHsDcLjwDo4Iw,2017-02-25
Mandy Misra,2014-08-07T13:06:05Z,IN,82400,16910745,146,UUQv19ogR1hFJ1tqPBGZBxDA,2014-08-07
Nomadic Indian,2017-05-03T00:58:23Z,IN,1850000,350101526,971,UUgilhqoyZrXV2EBlaaAtVaw,2017-05-03
Tanya Khanijow,2012-10-07T08:03:18Z,IN,2150000,539265602,532,UUGeGhS_akOxBWQcSmje6B-w,2012-10-07
Aakanksha Monga,2012-06-27T11:25:21Z,IN,940000,390600755,784,UUDRA2X1Tp2idmQZ4-EASDEA,2012-06-27
Hiking Planet ,2017-07-23T16:26:13Z,IN,82100,4581654,23,UUn8FN2lzzZIK41C3M4vb5Tw,2017-07-23
visa2explore,2017-01-10T15:22:08Z,IN,1990000,553744266,566,UUFuxLOUo41P3eEAW8U-Dwjg,2017-01-10
Ajay Raj,2018-05-22T08:19:40Z,IN,595000,29386857,73,UUTP9sDeqayLKuD4QjHKdcIw,2018-05-22
Kanishk Gupta,2017-06-19T08:01:01Z,IN,1620000,218058647,155,UUIKAsBdkwH3ERoJd3hJQ-Jg,2017-06-19
Kritika Goel,2007-05-12T16:14:26Z,IN,707000,94778195,478,UUD8CFS_nj2_dBdSZu53wCcQ,2007-05-12
Trippy Buddy,2022-01-03T20:06:32.5531Z,IN,72800,30081634,270,UUiw4XPoqiJ4XVSUYOk0k7xQ,
